"Y1","Y2","Y3","Y4","Y5"
15,26,10,53,33
17,31,17,64,31
18,24,8,53,36
14,18,6,66,33
11,17,8,60,29
20,25,9,64,33
9,23,12,55,39
9,21,3,64,38
15,24,16,56,47
22,26,13,65,36
16,22,10,59,42
9,16,12,53,38
19,27,15,41,37
9,14,15,54,38
20,28,6,54,33
11,31,11,52,38
13,26,8,53,38
14,23,13,60,33
10,18,7,51,37
9,23,7,53,30
17,19,8,55,32
16,19,11,60,30
17,20,8,61,42
13,26,12,45,27
24,28,11,46,37
14,32,10,51,30
19,21,13,59,43
9,21,10,48,30
13,23,13,52,40
11,32,8,53,40
20,22,9,57,27
13,26,9,53,35
13,20,11,56,31
14,22,8,61,30
20,23,19,58,41
12,18,12,51,30
16,20,7,52,26
13,33,6,51,39
16,18,9,69,34
16,16,11,58,37
9,27,13,77,31
11,18,11,64,38
13,26,14,55,39
11,18,13,49,31
16,30,7,45,36
18,33,9,66,38
12,31,11,56,37
10,22,10,47,33
20,24,16,59,29
10,32,12,65,39
14,20,4,47,35
7,17,11,69,36
7,19,9,59,33
16,22,11,47,33
21,15,7,59,38
19,23,10,58,31
7,24,11,52,33
10,23,13,50,35
11,15,11,46,26
17,22,12,54,34
21,19,14,52,38
13,26,11,56,42
14,28,6,53,38
17,19,10,41,43
9,30,9,58,38
19,31,7,64,50
15,26,12,56,40
17,20,6,59,40
21,23,10,48,36
18,21,8,59,31
14,21,5,69,35
14,20,10,56,28
12,25,14,61,38
18,24,6,60,28
18,22,7,73,35
15,17,10,55,35
17,22,8,62,28
11,23,12,47,30
21,28,11,55,32
18,19,7,50,32
14,21,10,57,33
9,20,12,53,29
14,25,11,68,34
16,30,9,45,39
18,15,6,61,38
14,24,8,65,27
15,19,9,61,48
16,27,8,61,36
17,23,10,55,36
15,26,13,50,36
18,28,7,59,38
15,17,9,63,47
15,28,12,55,32
12,32,9,58,39
15,20,8,46,43
11,32,11,53,41
15,28,6,71,31
9,25,5,61,44
16,23,12,51,27
14,17,6,61,32
23,21,10,58,34
11,19,7,62,32
15,20,9,59,34
19,33,7,63,40
11,30,12,69,31
19,22,7,50,42
11,23,13,52,27
10,27,13,65,29
19,18,5,66,32
11,18,7,60,30
17,31,10,57,42
14,20,6,63,24
21,21,7,46,37
15,15,14,55,41
16,26,12,58,28
16,20,3,55,36
16,23,10,67,32
16,26,5,68,32
16,35,17,74,25
11,20,8,66,26
18,26,13,68,41
14,28,4,54,34
21,31,14,60,34
20,26,13,52,19
8,17,12,51,42
16,27,8,53,31
14,24,10,66,41
12,18,8,46,34
15,20,5,58,41
15,22,5,62,27
13,20,16,46,39
18,22,11,53,52
13,25,15,63,29
7,27,11,58,30
9,24,6,56,39
15,24,4,58,33
16,23,8,47,29
16,18,8,62,37
22,16,9,51,27
10,20,12,56,41
13,13,10,69,36
18,12,6,51,36
19,24,9,71,38
15,16,12,60,44
16,18,7,53,28
28,17,5,48,32
10,20,11,60,34
16,23,7,41,33
13,19,12,52,32
11,26,10,53,32
18,20,11,53,34
11,16,11,50,39
